author,content,description,photo_url,pub_date,source,title,url,combined_text,tokens,lems,keywords
Chisom Peter Job,"Tomiwa Ibukunle, a 21-year-old entrepreneur in Lagos, Nigeria, started her clothing and accessories business two months ago. She uses WhatsApp to advertise her products and process orders from custom… [+4704 chars]",The platform's shutdown sparked uncertainty and panic. It's time to invest in alternatives.,"https://media.wired.com/photos/61644befd5b17ced239ac894/191:100/w_1280,c_limit/Sec_phone_GettyImages-717153931.jpg",2021-10-11,Wired,"In Nigeria, Facebook's Outage Revealed a Dangerous Dominance",https://www.wired.com/story/nigeria-whatsapp-facebook-outage/,in nigeria facebook is outage revealed a dangerous dominance tomiwa ibukunle a  year old entrepreneur in lagos nigeria started her clothing and accessories business two months ago she uses whatsapp to advertise her products and process orders from custom  chars,"['nigeria', 'facebook', 'outage', 'revealed', 'dangerous', 'dominance', 'tomiwa', 'ibukunle', 'year', 'old', 'entrepreneur', 'lagos', 'nigeria', 'started', 'clothing', 'accessories', 'business', 'two', 'months', 'ago', 'uses', 'whatsapp', 'advertise', 'products', 'process', 'orders', 'custom', 'chars']",nigeria facebook outage revealed dangerous dominance tomiwa ibukunle year old entrepreneur lagos started clothing accessory business two month ago us whatsapp advertise product process order custom char,"['nigeria', 'facebook', 'outage', 'revealed', 'dangerous', 'dominance', 'tomiwa', 'ibukunle', 'year', 'old', 'entrepreneur', 'lagos', 'started', 'clothing', 'accessories', 'business', 'two', 'months', 'ago', 'uses', 'whatsapp', 'advertise', 'products', 'process', 'orders', 'custom', 'chars']"
Eleanor Cummins,"A trove of leaked documents and a recent congressional hearing have proven the obvious: Instagram harms many of its users, and its parent company Facebook has known for years. As one company slide co… [+3883 chars]",It's almost inevitable that social media forces us to see ourselves as objects—so why not opt out of the human image?,"https://media.wired.com/photos/6160e0d27d0472ab3174cb4f/191:100/w_1280,c_limit/Bodies-Are-Cancelled.jpg",2021-10-10,Wired,"Bodies Are Canceled. Thanks, Instagram",https://www.wired.com/story/instagram-mental-health-psychology-body-image-science/,bodies are canceled thanks instagram a trove of leaked documents and a recent congressional hearing have proven the obvious instagram harms many of its users and its parent company facebook has known for years as one company slide co  chars,"['bodies', 'canceled', 'thanks', 'instagram', 'trove', 'leaked', 'documents', 'recent', 'congressional', 'hearing', 'proven', 'obvious', 'instagram', 'harms', 'many', 'users', 'parent', 'company', 'facebook', 'known', 'years', 'one', 'company', 'slide', 'co', 'chars']",body canceled thanks instagram trove leaked document recent congressional hearing proven obvious harm many user parent company facebook known year one slide co char,"['bodies', 'canceled', 'thanks', 'instagram', 'trove', 'leaked', 'documents', 'recent', 'congressional', 'hearing', 'proven', 'obvious', 'harms', 'many', 'users', 'parent', 'company', 'facebook', 'known', 'years', 'one', 'slide', 'co', 'chars']"
Mar Hicks,"But the idea that Facebooks technological underpinnings are supposedly so complex that they cannot be audited, and its business model so fast-moving that it cannot be slowed, is finally being overtak… [+5113 chars]","Before there was Big Tech, there were auto companies that prioritized profits over safety—until a leaked memo made it clear regulation was the only cure.","https://media.wired.com/photos/6164e61a15502b89afabdfa7/191:100/w_1280,c_limit/Ford-and-Facebook.jpg",2021-10-14,Wired,Facebook's Fall From Grace Looks a Lot Like Ford's,https://www.wired.com/story/facebook-ford-fall-from-grace/,facebook is fall from grace looks a lot like ford is but the idea that facebooks technological underpinnings are supposedly so complex that they cannot be audited and its business model so fast moving that it cannot be slowed is finally being overtak  chars,"['facebook', 'fall', 'grace', 'looks', 'lot', 'like', 'ford', 'idea', 'facebooks', 'technological', 'underpinnings', 'supposedly', 'complex', 'cannot', 'audited', 'business', 'model', 'fast', 'moving', 'cannot', 'slowed', 'finally', 'overtak', 'chars']",facebook fall grace look lot like ford idea facebooks technological underpinnings supposedly complex cannot audited business model fast moving slowed finally overtak char,"['facebook', 'fall', 'grace', 'looks', 'lot', 'like', 'ford', 'idea', 'facebooks', 'technological', 'underpinnings', 'supposedly', 'complex', 'cannot', 'audited', 'business', 'model', 'fast', 'moving', 'slowed', 'finally', 'overtak', 'chars']"
Ian Carlos Campbell,"Filed under:
Kicking another social network while its down
Photo by Joe Raedle/Getty Images
Twitter CEO Jack Dorsey appears to be getting just as much schadenfreude out of todays global Facebook o… [+1284 chars]","Twitter CEO Jack Dorsey is dunking on Facebook and its various products during the company’s global outage. Facebook is experiencing a DNS issue that’s brought down Instagram, Facebook, WhatsApp, and Oculus VR.",https://cdn.vox-cdn.com/thumbor/dn50zT86uS4KmryZZR5yTCGss4s=/0x0:3000x1571/fit-in/1200x630/cdn.vox-cdn.com/uploads/chorus_asset/file/22900445/1321753430.jpg,2021-10-04,The Verge,"Twitter is up, Facebook is down, and Jack Dorsey is laughing",https://www.theverge.com/tldr/2021/10/4/22709235/twitter-jack-dorsey-dunk-facebook-outage-dns,twitter is up facebook is down and jack dorsey is laughing filed under kicking another social network while its down photo by joe raedle getty images twitter ceo jack dorsey appears to be getting just as much schadenfreude out of todays global facebook o  chars,"['twitter', 'facebook', 'jack', 'dorsey', 'laughing', 'filed', 'kicking', 'another', 'social', 'network', 'photo', 'joe', 'raedle', 'getty', 'images', 'twitter', 'ceo', 'jack', 'dorsey', 'appears', 'getting', 'much', 'schadenfreude', 'todays', 'global', 'facebook', 'chars']",twitter facebook jack dorsey laughing filed kicking another social network photo joe raedle getty image ceo appears getting much schadenfreude today global char,"['twitter', 'facebook', 'jack', 'dorsey', 'laughing', 'filed', 'kicking', 'another', 'social', 'network', 'photo', 'joe', 'raedle', 'getty', 'images', 'ceo', 'appears', 'getting', 'much', 'schadenfreude', 'todays', 'global', 'chars']"
Richard Lawler,"Its probably DNS
Illustration by Alex Castro / The Verge
Just as Facebooks Antigone Davis was live on CNBCdefending the companys policies and its handling of research data suggesting Instagram is h… [+474 chars]","Facebook, Instagram, WhatsApp, and Messenger all appear to be offline due to a DNS outage.",https://cdn.vox-cdn.com/thumbor/BX718uWWEZPX7soTgZg9ibvEjKs=/0x146:2040x1214/fit-in/1200x630/cdn.vox-cdn.com/uploads/chorus_asset/file/15948786/acastro_180720_1777_facebook_0001.jpg,2021-10-04,The Verge,"Facebook is down, along with Instagram, WhatsApp, and Messenger",https://www.theverge.com/2021/10/4/22708989/instagram-facebook-outage-messenger-whatsapp-error,facebook is down along with instagram whatsapp and messenger its probably dns illustration by alex castro the verge just as facebooks antigone davis was live on cnbcdefending the companys policies and its handling of research data suggesting instagram is h  chars,"['facebook', 'along', 'instagram', 'whatsapp', 'messenger', 'probably', 'dns', 'illustration', 'alex', 'castro', 'verge', 'facebooks', 'antigone', 'davis', 'live', 'cnbcdefending', 'companys', 'policies', 'handling', 'research', 'data', 'suggesting', 'instagram', 'h', 'chars']",facebook along instagram whatsapp messenger probably dns illustration alex castro verge facebooks antigone davis live cnbcdefending company policy handling research data suggesting h char,"['facebook', 'along', 'instagram', 'whatsapp', 'messenger', 'probably', 'dns', 'illustration', 'alex', 'castro', 'verge', 'facebooks', 'antigone', 'davis', 'live', 'cnbcdefending', 'companys', 'policies', 'handling', 'research', 'data', 'suggesting', 'h', 'chars']"
Alex Heath,"Engineers have been sent to a California data center
Illustration by Alex Castro / The Verge
A prolonged, global outage of Facebooks apps has the companys engineers scrambling to fix the issue at o… [+2260 chars]","Engineers have been sent to a California data center to fix an issue that brought down Facebook, Instagram, WhatsApp, and Messenger.",https://cdn.vox-cdn.com/thumbor/KqmvMUzxiqwsVnmICaF0ofp0omA=/0x146:2040x1214/fit-in/1200x630/cdn.vox-cdn.com/uploads/chorus_asset/file/10587643/acastro_170329_1777_facebook_0001.jpg,2021-10-04,The Verge,Locked out and totally down: Facebook is scrambling to fix massive outage,https://www.theverge.com/2021/10/4/22709575/facebook-outage-instagram-whatsapp,locked out and totally down facebook is scrambling to fix massive outage engineers have been sent to a california data center illustration by alex castro the verge a prolonged global outage of facebooks apps has the companys engineers scrambling to fix the issue at o  chars,"['locked', 'totally', 'facebook', 'scrambling', 'fix', 'massive', 'outage', 'engineers', 'sent', 'california', 'data', 'center', 'illustration', 'alex', 'castro', 'verge', 'prolonged', 'global', 'outage', 'facebooks', 'apps', 'companys', 'engineers', 'scrambling', 'fix', 'issue', 'chars']",locked totally facebook scrambling fix massive outage engineer sent california data center illustration alex castro verge prolonged global facebooks apps company issue char,"['locked', 'totally', 'facebook', 'scrambling', 'fix', 'massive', 'outage', 'engineers', 'sent', 'california', 'data', 'center', 'illustration', 'alex', 'castro', 'verge', 'prolonged', 'global', 'facebooks', 'apps', 'companys', 'issue', 'chars']"
Jon Porter,"Giving users full root access
The Oculus Go, originally released in 2018.
Photo by Amelia Holowaty Krales / The Verge
Facebook is unlocking the bootloader of its discontinued Oculus Go headset and… [+2666 chars]",Facebook is unlocking the software and bootloader on its discontinued Oculus Go headset. The move was announced by Oculus’ consulting CTO John Carmack.,https://cdn.vox-cdn.com/thumbor/jwK3_Qmzq-mUHxcX2wu45pPYn44=/0x146:2040x1214/fit-in/1200x630/cdn.vox-cdn.com/uploads/chorus_asset/file/10752403/akrales_180426_2494_0175.jpg,2021-09-27,The Verge,"The Oculus Go’s operating system is being unlocked, John Carmack announces",https://www.theverge.com/2021/9/27/22696030/oculus-go-root-access-unlocked-os-homebrew-developers-john-carmack,the oculus go s operating system is being unlocked john carmack announces giving users full root access the oculus go originally released in  photo by amelia holowaty krales the verge facebook is unlocking the bootloader of its discontinued oculus go headset and  chars,"['oculus', 'go', 'operating', 'system', 'unlocked', 'john', 'carmack', 'announces', 'giving', 'users', 'full', 'root', 'access', 'oculus', 'go', 'originally', 'released', 'photo', 'amelia', 'holowaty', 'krales', 'verge', 'facebook', 'unlocking', 'bootloader', 'discontinued', 'oculus', 'go', 'headset', 'chars']",oculus go operating system unlocked john carmack announces giving user full root access originally released photo amelia holowaty krales verge facebook unlocking bootloader discontinued headset char,"['oculus', 'go', 'operating', 'system', 'unlocked', 'john', 'carmack', 'announces', 'giving', 'users', 'full', 'root', 'access', 'originally', 'released', 'photo', 'amelia', 'holowaty', 'krales', 'verge', 'facebook', 'unlocking', 'bootloader', 'discontinued', 'headset', 'chars']"
Jennifer Pattison Tuohy,"If you buy something from a Verge link, Vox Media may earn a commission. See our ethics statement.The Facebook Portal Go is a portable smart display designed to make video calling in your home easier… [+10620 chars]",The Portal Go from Facebook is excellent as a dedicated video device but pretty bad as a smart display.,https://cdn.vox-cdn.com/thumbor/IbbRKQHBHSEIJvWef3XF74KpbwA=/0x292:2040x1360/fit-in/1200x630/cdn.vox-cdn.com/uploads/chorus_asset/file/22935188/jtuohy_211014_4807_0012.jpg,2021-10-19,The Verge,"Facebook’s new Portal Go is great for video calls, but not much else",https://www.theverge.com/22732472/facebook-portal-go-10-inch-2021-review,facebook s new portal go is great for video calls but not much else if you buy something from a verge link vox media may earn a commission see our ethics statement the facebook portal go is a portable smart display designed to make video calling in your home easier  chars,"['facebook', 'new', 'portal', 'go', 'great', 'video', 'calls', 'much', 'else', 'buy', 'something', 'verge', 'link', 'vox', 'media', 'may', 'earn', 'commission', 'see', 'ethics', 'statement', 'facebook', 'portal', 'go', 'portable', 'smart', 'display', 'designed', 'make', 'video', 'calling', 'home', 'easier', 'chars']",facebook new portal go great video call much else buy something verge link vox medium may earn commission see ethic statement portable smart display designed make calling home easier char,"['facebook', 'new', 'portal', 'go', 'great', 'video', 'calls', 'much', 'else', 'buy', 'something', 'verge', 'link', 'vox', 'media', 'may', 'earn', 'commission', 'see', 'ethics', 'statement', 'portable', 'smart', 'display', 'designed', 'make', 'calling', 'home', 'easier', 'chars']"
Alex Cranz,"The claims are in response to a damning Wall Street Journal story that prompted a Senate hearing
Illustration by Alex Castro / The Verge
Facebook has fired back nearly two weeks after The Wall Stre… [+2811 chars]",Ahead of a Senate committee hearing Facebook’s head of research released a new post claiming that the Wall Street Journal’s interpretation of data is all wrong and Instagram has minimal negative effects on teens. However Facebook still hasn’t released the dat…,https://cdn.vox-cdn.com/thumbor/AhEDh8cXLzPzD8FmGa8EbJmzzbs=/0x146:2040x1214/fit-in/1200x630/cdn.vox-cdn.com/uploads/chorus_asset/file/19228500/acastro_190919_1777_instagram_0001.0.jpg,2021-09-27,The Verge,"Facebook says Instagram is not ‘toxic for teens,’ despite damning WSJ report",https://www.theverge.com/2021/9/26/22695629/facebook-says-instagram-is-not-toxic-for-teens-despite-damning-wsj-report,facebook says instagram is not toxic for teens despite damning wsj report the claims are in response to a damning wall street journal story that prompted a senate hearing illustration by alex castro the verge facebook has fired back nearly two weeks after the wall stre  chars,"['facebook', 'says', 'instagram', 'toxic', 'teens', 'despite', 'damning', 'wsj', 'report', 'claims', 'response', 'damning', 'wall', 'street', 'journal', 'story', 'prompted', 'senate', 'hearing', 'illustration', 'alex', 'castro', 'verge', 'facebook', 'fired', 'back', 'nearly', 'two', 'weeks', 'wall', 'stre', 'chars']",facebook say instagram toxic teen despite damning wsj report claim response wall street journal story prompted senate hearing illustration alex castro verge fired back nearly two week stre char,"['facebook', 'says', 'instagram', 'toxic', 'teens', 'despite', 'damning', 'wsj', 'report', 'claims', 'response', 'wall', 'street', 'journal', 'story', 'prompted', 'senate', 'hearing', 'illustration', 'alex', 'castro', 'verge', 'fired', 'back', 'nearly', 'two', 'weeks', 'stre', 'chars']"
James Vincent,"The browser extension essentially wiped users News Feed
Illustration by Alex Castro / The Verge
A developer who made a tool that let people automatically unfollow friends and groups on Facebook say… [+3184 chars]","Louis Barclay, the developer behind the Unfollow Everything browser extension, says he’s been banned for life from Facebook and Instagram. Barclay’s tool let users automatically unfollow groups, friends, and pages, essentially wiping their News Feed in the pr…",https://cdn.vox-cdn.com/thumbor/BX718uWWEZPX7soTgZg9ibvEjKs=/0x146:2040x1214/fit-in/1200x630/cdn.vox-cdn.com/uploads/chorus_asset/file/15948786/acastro_180720_1777_facebook_0001.jpg,2021-10-08,The Verge,Facebook bans developer behind Unfollow Everything tool,https://www.theverge.com/2021/10/8/22716044/facebook-unfollow-everything-tool-louis-barclay-banned-for-life,facebook bans developer behind unfollow everything tool the browser extension essentially wiped users news feed illustration by alex castro the verge a developer who made a tool that let people automatically unfollow friends and groups on facebook say  chars,"['facebook', 'bans', 'developer', 'behind', 'unfollow', 'everything', 'tool', 'browser', 'extension', 'essentially', 'wiped', 'users', 'news', 'feed', 'illustration', 'alex', 'castro', 'verge', 'developer', 'made', 'tool', 'let', 'people', 'automatically', 'unfollow', 'friends', 'groups', 'facebook', 'say', 'chars']",facebook ban developer behind unfollow everything tool browser extension essentially wiped user news feed illustration alex castro verge made let people automatically friend group say char,"['facebook', 'bans', 'developer', 'behind', 'unfollow', 'everything', 'tool', 'browser', 'extension', 'essentially', 'wiped', 'users', 'news', 'feed', 'illustration', 'alex', 'castro', 'verge', 'made', 'let', 'people', 'automatically', 'friends', 'groups', 'say', 'chars']"
